Date,Close/Last,Volume,Open,High,Low
05/27/2024,67914.30,N/A,68872.30,69560.70,67795.60
05/26/2024,68839.70,N/A,69073.20,69283.60,68480.40
05/25/2024,69124.70,N/A,68754.30,69310.60,68849.10
05/24/2024,68759.50,N/A,67876.90,68889.90,68516.10
05/23/2024,67910.70,N/A,69436.60,68002.00,67635.10
05/22/2024,69337.00,N/A,69952.20,69594.40,69166.30
05/21/2024,69917.40,N/A,71272.90,70343.90,69829.50
05/20/2024,71369.60,N/A,66676.00,71872.00,70754.40
05/19/2024,66680.90,N/A,67169.10,66755.50,66076.50
05/18/2024,67151.90,N/A,66951.70,67284.60,66843.60
05/17/2024,66930.20,N/A,65595.80,67048.70,66752.30
05/16/2024,65646.90,N/A,65984.60,65834.20,65121.70
05/15/2024,66032.20,N/A,61945.60,66643.90,65817.00
05/14/2024,61915.90,N/A,62479.70,62018.00,61357.50
05/13/2024,62403.70,N/A,61172.30,63102.60,62386.10
05/12/2024,61071.90,N/A,60929.70,61790.00,60779.00
05/11/2024,60905.60,N/A,60723.80,61101.10,60806.60
05/10/2024,60745.90,N/A,62916.10,61076.90,60673.40
05/09/2024,62864.30,N/A,61678.50,63090.70,62669.20
05/08/2024,61717.80,N/A,62895.60,61773.60,61152.00
05/07/2024,62945.30,N/A,63239.50,62950.00,62166.20
05/06/2024,63238.40,N/A,63875.30,63955.50,62918.30
05/05/2024,63816.50,N/A,63238.00,64459.50,63722.00
05/04/2024,63203.20,N/A,62710.50,64143.80,62923.90
05/03/2024,62703.20,N/A,59727.30,63515.40,62599.10
05/02/2024,57921.50,N/A,57131.40,58560.20,56989.80
05/01/2024,57526.50,N/A,60241.30,58560.20,56989.80
04/30/2024,60222.80,N/A,63646.40,60827.50,59590.20
04/29/2024,63650.40,N/A,62249.10,64700.20,63142.80
04/28/2024,62655.00,N/A,64016.80,63331.80,62469.70
04/27/2024,64057.30,N/A,63081.40,64346.10,63457.90
04/26/2024,63127.60,N/A,64370.40,63916.70,62507.70
04/25/2024,64366.30,N/A,64281.00,64635.00,63927.70
04/24/2024,64341.20,N/A,66597.60,64728.30,63901.70
04/23/2024,66615.30,N/A,66450.00,66882.60,66396.60
04/22/2024,66515.80,N/A,65711.60,67180.00,66499.90
04/21/2024,66003.10,N/A,65190.70,66018.10,64527.50
04/20/2024,64674.80,N/A,64377.00,65375.60,63131.70
04/19/2024,63899.80,N/A,61787.50,64139.30,63131.70
04/18/2024,61830.20,N/A,61657.00,63480.50,59693.30
04/17/2024,61995.90,N/A,63844.60,62171.50,60970.80
04/16/2024,63778.50,N/A,63401.80,64289.50,63608.50
04/15/2024,62919.10,N/A,65158.60,63890.00,62802.50
04/14/2024,65253.90,N/A,63085.60,65875.20,64983.40
04/13/2024,63152.30,N/A,66528.90,64307.90,62174.70
04/12/2024,66980.30,N/A,70985.00,67133.00,65784.70
04/11/2024,70856.70,N/A,70851.60,70972.90,70005.40
04/10/2024,69202.60,N/A,69231.10,69574.90,67570.00
04/09/2024,68721.10,N/A,71723.50,71737.20,68615.00
04/08/2024,71262.20,N/A,69451.60,71737.20,70902.30
04/07/2024,69393.00,N/A,69419.50,69788.60,69110.50
04/06/2024,69409.10,N/A,67797.70,69739.70,68849.40
04/05/2024,67740.60,N/A,67872.10,68053.30,67467.20
04/04/2024,67649.30,N/A,65749.00,68692.20,67472.80
